Query	Quality Threshold	Repetition	Unfairness
Query 1	θ = 0.88	78917	0.267616
Query 2	θ = 0.28	121660	0.01
Query 2	θ = 0.88	48343	0.068651
Query 2	θ = 0.48	138124	0.01
Query 3	θ = 0.78	49988	0.134092
Query 3	θ = 0.88	140455	0.179964
Query 2	θ = 0.28	105273	0.01
Query 2	θ = 0.28	134505	0.01
Query 3	θ = 0.98	35200	0.142859
Query 3	θ = 0.78	149328	0.091373
Query 3	θ = 0.28	143131	0.01
Query 1	θ = 0.28	57524	0.01
Query 2	θ = 0.28	132752	0.01
Query 1	θ = 0.48	35274	0.064115
Query 1	θ = 0.78	131666	0.126155
Query 2	θ = 0.28	179687	0.01
Query 2	θ = 0.98	81581	0.055736
Query 2	θ = 0.48	195591	0.01
Query 1	θ = 0.88	54289	0.281488
Query 2	θ = 0.48	45801	0.02
Query 2	θ = 0.28	26678	0.01
Query 1	θ = 0.88	194484	0.215363
Query 3	θ = 0.98	6705	0.107930
